¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),∞≠ºˆ∑Æ(mm),«≥º”(m/s),Ω¿µµ(%),«ˆ¡ˆ±‚æ–(hPa),«ˆ¡ˆ±‚æ– QC«√∑°±◊,«ÿ∏È±‚æ–(hPa),«ÿ∏È±‚æ– QC«√∑°±◊,¿˚º≥(cm),¿¸øÓ∑Æ(10∫–¿ß),¡ﬂ«œ√˛øÓ∑Æ(10∫–¿ß),øÓ«¸(øÓ«¸æ‡æÓ),√÷¿˙øÓ∞Ì(100m ),¡ˆ∏ÈªÛ≈¬(¡ˆ∏ÈªÛ≈¬ƒ⁄µÂ),¡ˆ∏Èø¬µµ(°∆C),¡ˆ∏Èø¬µµ QC«√∑°±◊,5cm ¡ˆ¡ﬂø¬µµ(°∆C),10cm ¡ˆ¡ﬂø¬µµ(°∆C),20cm ¡ˆ¡ﬂø¬µµ(°∆C),30cm ¡ˆ¡ﬂø¬µµ(°∆C)
101,√·√µ,2025-01-01 0:00,-6.7,,0.3,76,1013.4,,1023.3,,,0,0,,,,-8.7,,-0.9,-0.9,-0.5,0.5
101,√·√µ,2025-01-01 1:00,-7.1,,0.6,78,1013.6,,1023.5,,,0,0,,,,-8.8,,-1.1,-1,-0.5,0.5
101,√·√µ,2025-01-01 2:00,-7.5,,0.1,80,1013.9,,1023.8,,,0,0,,,,-9.1,,-1.2,-1.1,-0.5,0.4
101,√·√µ,2025-01-01 3:00,-7.9,,0.2,80,1013.4,,1023.3,,,0,0,,,,-8.3,,-1.5,-1.3,-0.5,0.3
101,√·√µ,2025-01-01 4:00,-6,,1.1,78,1012.9,,1022.7,,,9,3,,14,,-5.2,,-1.4,-1.3,-0.5,0.5
101,√·√µ,2025-01-01 5:00,-4.9,,0.3,76,1012.6,,1022.4,,,9,9,,13,,-3.9,,-1.4,-1.3,-0.5,0.4
101,√·√µ,2025-01-01 6:00,-4.5,,0.2,76,1012.8,,1022.6,,,9,9,,11,,-3.5,,-1.3,-1.2,-0.6,0.5
101,√·√µ,2025-01-01 7:00,-3.9,,0.5,76,1013.1,,1022.9,,,9,5,,13,,-3.2,,-1.2,-1.1,-0.5,0.5
101,√·√µ,2025-01-01 8:00,-3.6,,0.7,75,1013.4,,1023.2,,,9,7,,13,,-3,,-1.2,-1.1,-0.6,0.5
101,√·√µ,2025-01-01 9:00,-2.8,,0.5,75,1013.4,,1023.1,,,9,4,,15,,-1.6,,-1.1,-1.1,-0.5,0.4
101,√·√µ,2025-01-01 10:00,-0.8,,0.4,66,1013.7,,1023.3,,,9,1,,14,,2.3,,-1,-0.9,-0.5,0.5
101,√·√µ,2025-01-01 11:00,1.6,,1,53,1013.6,,1023.2,,,8,1,,16,,8,,-0.6,-0.7,-0.4,0.5
101,√·√µ,2025-01-01 12:00,3.8,,2.1,49,1012.6,,1022.1,,,8,1,,15,,10.9,,-0.3,-0.4,-0.3,0.5
101,√·√µ,2025-01-01 13:00,5,,2.9,49,1011.9,,1021.3,,,6,1,,76,,13.2,,-0.2,-0.3,-0.3,0.5
101,√·√µ,2025-01-01 14:00,5.2,,2.3,49,1011,,1020.4,,,4,0,,,,8,,0,-0.3,-0.2,0.5
101,√·√µ,2025-01-01 15:00,6.1,,2.3,50,1010.7,,1020.1,,,3,0,,,,5.3,,-0.1,-0.3,-0.2,0.5
101,√·√µ,2025-01-01 16:00,6.8,,2.7,47,1010.8,,1020.2,,,0,0,,,,4,,0,-0.2,-0.2,0.5
101,√·√µ,2025-01-01 17:00,6.1,,3.5,42,1010.9,,1020.3,,,0,0,,,,0.6,,-0.1,-0.2,-0.3,0.5
101,√·√µ,2025-01-01 18:00,4.5,,1.8,49,1011.5,,1020.9,,,0,0,,,,-2.6,,-0.3,-0.3,-0.3,0.5
101,√·√µ,2025-01-01 19:00,2,,1.2,61,1011.9,,1021.4,,,0,0,,,,-3.5,,-0.4,-0.4,-0.3,0.5
101,√·√µ,2025-01-01 20:00,-1,,0.2,73,1012.5,,1022.2,,,0,0,,,,-4.4,,-0.4,-0.4,-0.3,0.5
101,√·√µ,2025-01-01 21:00,-2.4,,0.5,80,1013,,1022.7,,,0,0,,,,-5,,-0.5,-0.5,-0.3,0.5
101,√·√µ,2025-01-01 22:00,-2.9,,1,84,1013.4,,1023.1,,,0,0,,,,-5.7,,-0.5,-0.4,-0.3,0.5
101,√·√µ,2025-01-01 23:00,-4.3,,0,84,1013.7,,1023.5,,,0,0,,,,-6.4,,-0.5,-0.6,-0.4,0.5
101,√·√µ,2025-01-02 0:00,-4.5,,0.1,89,1014.1,,1023.9,,,0,0,,,,-6.9,,-0.7,-0.6,-0.4,0.4
101,√·√µ,2025-01-02 1:00,-4.3,,1.6,87,1014.1,,1023.9,,,0,0,,,,-6.8,,-0.8,-0.7,-0.3,0.5
101,√·√µ,2025-01-02 2:00,-5.1,,0.7,91,1014.2,,1024,,,3,1,,68,,-7.7,,-1,-0.8,-0.4,0.5
